#incho#/1vv            to start to; to begin to
&&apik/1vv             implies frustration or annoyance, because of embarassment, inconvenience or awkwardness to one's position or plans: 'damn it!'
&&aq/1vv               implies frustration or annoyance, because of embarassment, inconvenience or awkwardness to one's position or plans: 'damn it!'
&aq/1vv                identification
&iq/1nn                superlativeness, highest degree, the most of all
a/1vv                  action done several times, or continuously, or on several objects, or by several subjects; also, with transitive verbs with perfect sense: renders the action at the present time
ajak/1nv               to take many (animals)
allak/1vv              ease, simpleness of action; 'easily'; 'just'
aluk/1nn               largeness; impressiveness; 'large'; exaggeration, aggrandizement of action (with gerundive): 'a lot', 'a great deal'
anik/1vv               action already done; 'already' (Aivilik)
annuk/1nn              diminutiveness; 'small'; 'sweet, beautiful little'
apik/1nn               diminutiveness; 'small'; 'sweet'; 'nice'
aq/1nv                 arrival at a place: 'go to'
aq/2nv                 1) to spread s.t. (a substance) on s.t. 2) to hurt s.o. on a body part; 3) to break s.o.'s thing
arjuk/1nn              smallness; 'small'
arjuk/2vv              a little
gai/1vv                whenever
gajuk/1vv              expresses more than regular action: 'frequently', 'always'
galaq/1nn              collectiveness; characteristic
galuaq/1vv             really; actually
galuaq/2vn             really; actually
gaq/1vn                forms a noun with an inherently passive meaning: someone/something that one ...
gaq/2vv                frequentative: several times
ggiq/1nv               bring along with
gi/1nv                 have as; possess; have as relation; use as; consider or treat as
gi/2vv                 again
gi/3vv                 to find, consider s.t. or s.o. ...
gi/4vv                 added to [[gi verb(s)]] to use them transitively
giaq/1vv               commencement of action: 'begin to'
giaq/2vn               which has a natural tendency to
giaq/3vn               the fact of
giik/1nn               a pair of two (or a group of three or more, in the plural) people or things; if of unequal importance or strength, the stem denotes the lesser of the two
giik/2nv               to be mutually the same; if of unequal importance or strength, the stem denotes the lesser of the two
gik/1nv                to have good ...
guk/1nv                to be desirous of the fulfillment of a physical or sensual need
gulu/1nn               terrible; wretched
guq/2nv                to make s.o. (refl.: oneself = to mature) become more of what one already is
gusuk/1vv              added to [[gi verb(s)]] to use them intransitively
gusuk/2vv              to like, to want to do s.t.; to be disposed or about to do s.t.
guuq/1q                reporting discourse: 'he/she said'
i/1vv                  added to transitive verb stems such that they retain their transitive sense when followed by intransitive infixes or endings, to avoid their otherwise reflexive or passive senses
ijaq/1nv               to remove; to have something removed; coldness of (when used with body parts)
