#incho#/1vv            commencer à
&&apik/1vv             implique de la frustration ou de la contrariété à cause d'un embarras, d'un désagrément ou d'un dérangement à ses plans
&&aq/1vv               implique de la frustration ou de la contrariété à cause d'un embarras, d'un désagrément ou d'un dérangement à ses plans
&aq/1vv                identification
&iq/1nn                superlatif, le plus haut degré, le plus ... de tous
a/1vv                  action effectuée plusieurs fois, ou de façon continue, ou sur plusieurs objets, ou par plusieurs sujets; avec verbes transitifs avec sens parfait: indique le temps présent
ajak/1nv               attraper beaucoup d'animaux
allak/1vv              action facile, simple; 'facilement'; 'juste'
aluk/1nn               large; impressionnant; exagération de l'action (avec gérondif): 'beaucoup'
anik/1vv               action déjà accomplie; 'déjà' (Aivilik)
annuk/1nn              diminutif; 'cher, beau petit'
apik/1nn               diminutif; 'petit'; 'cher'; 'gentil'
aq/1nv                 arrivée à un endroit: 'aller à'
aq/2nv                 null
arjuk/1nn              petitesse; 'petit(e)'
arjuk/2vv              un peu
gai/1vv                chaque fois que, lorsque
gajuk/1vv              exprime une action plus que régulière: 'fréquemment', 'toujours'
galaq/1nn              ensemble de gens, de choses; caractéristique
galuaq/1vv             vraiment; en fait
galuaq/2vn             vraiment; en fait
gaq/1vn                forme un nom avec un sens inhérent passif: quelqu'un/quelque chose que l'on ...
gaq/2vv                nil
ggiq/1nv               emmener avec soi
gi/1nv                 avoir comme; posséder; avoir pour (relation); utiliser comme; considérer ou traiter comme
gi/2vv                 encore; de nouveau
gi/3vv                 trouver, considérer qqn ou qqch. ...
gi/4vv                 ajouté aux verbes 'gi' pour les utiliser transitivement
giaq/1vv               commencement de l'action: 'commencer à'
giaq/2vn               qui a une tendance naturelle à
giaq/3vn               le fait de
giik/1nn               une paire (ou un groupe de trois ou plus, au pluriel) de personnes ou de choses; si d'importances ou de forces inégales, le radical désigne celui de moindre importance ou force
giik/2nv               être mutuellement la même chose; si d'importances ou de forces inégales, le radical désigne celui de moindre importance ou force
gik/1nv                avoir de bons ...
guk/1nv                avoir envie ou besoin d'assouvir un besoin physique ou sensuel
gulu/1nn               affreux; déglingué; misérable
guq/2nv                rendre qqn (réfl.: soi-même = devenir) plus ce qu'on est déjà
gusuk/1vv              ajouté aux verbes 'gi' pour les utiliser intransitivement
gusuk/2vv              ajouté aux verbes 'gi' pour les utiliser intransitivement
guuq/1q                rapport d'un discours: 'il/elle a dit'
i/1vv                  ajouté à des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour empêcher qu'ils prennent autrement leurs sens réfléchis ou passifs
ijaq/1nv               enlever; avoir quelque chose d'enlevé; 'avoir froid à ses ...' (lorsqu'utilisé avec une partie du corps)
ilaak/1q               marque la réaffirmation: "ainsi", "alors"
ilitaq/1nn             protection pour une partie du corps; protection contre quelque chose
illi/1nv               se briser ou sérieusement se blesser à une partie du corps
innaq/1nn              exclusivité: 'juste', 'seulement'
innaq/2vv              ne rien faire d'autre que; toujours; exclusivement
innaujaq/1vv           avoir l'air de ne faire que, de toujours faire
iq/1nv                 enlever; manquer de; être à court de; réfl.: donner, vendre, perdre qqch.; avec membres du corps: avoir froid à ...
iq/2vv                 ne plus
iqsuq/1nv              faire un nombre de fois
irujjaq/1nn            qqn qui est privé de qqch., qui est laissé sans qqch.
irujji/1nv             tout enlever de qqch.
iruti/1nv              tout enlever de qqch. (réfl.: être dépossédé de qqch., ne plus avoir qqch.)
isak/1nv               n'avoir presque plus de qqch.; n'y avoir presque plus de qqch.
it/1nv                 après -mi: être dans; exister dans; après -tut: être comme
it/1vv                 être le contraire de
it/2nv                 ne pas avoir de; manquer de
it/3nv                 être tel
jaq/1vn                personne ou chose sur laquelle l'action est accomplie (passif)
jaq/1vv                sembler, être, avoir l'air, agir comme qqch. ou qqn
jaq/2vv                action multiple, ou action sur objets multiples
jaq/3vn                qui ressemble à, qui est similaire à
jaqtuq/1vv             aller faire quelque chose longtemps
jariaksaq/2vn          tourne le verbe en le nom de l'action; lorsque suivi d'une terminaison possessive, il a le sens de "si...ou pas"
jariaq/1vn             l'obligation d'accomplir une action
jariiq/1vv             action déjà accomplie: 'déjà'
jariuq/1vv             'pour la première fois'
jarniq/1vv             être plaisant à ...
ji/1vn                 personne dont le travail est de; agent
ji/1vv                 ajouté à des radicaux verbaux transitifs afin qu'ils conservent leur sens transitif lorsqu'ils sont suivis d'infixes ou de terminaisons intransitives, pour empêcher qu'ils prennent autrement leurs sens réfléchis ou passifs
jjaa/1vv               futur emphatique: 'définitivement' (toujours combiné à un suffixe négatif: -nngit-, -junniiq-)
jjaikkut/1vn           instrument de prévention, pour empêcher
jjaq/1nv               le bris de quelque chose
jjiq/1nv               mettre qqch. sur qqch. ou qqn
jjiq/2nv               recevoir qqch.
jjut/1vn               raison, cause, motif pour faire qqchose
juaq/1nn               large; grand; gros
juaq/2vv               action exagérée
juit/1vv               rareté de l'action: 'rarement', 'peu souvent'
