morpheme,type,objectType,root,number,engMean,freMean,END
qangna,pd,?,qaksu,s,the one inside,celui dedans,.
taqqangna,pd,?,taqqaksu,s,the one inside,celui dedans,.
qapkua,pd,?,qapku,p,the ones inside,ceux dedans,.
taqqapkua,pd,?,taqqapku,p,the ones inside,ceux dedans,.
kingna,pd,?,kiksu,s,the one outside,celui dehors,.
takkingna,pd,?,takkiksu,s,the one outside,celui dehors,.
kikkua,pd,?,kikku,p,the ones outside,ceux dehors,.
takkikkua,pd,?,takkikku,p,the ones outside,ceux dehors,.
tagga,ad,sc,tagg,,right here beside me,juste ici à côté de moi,.
taava,ad,ml,taav,,over there not beside me,là pas à côté de moi,.
tauga,ad,ml,taun,,down there below the viewer,là en-dessous,.
taqqa,ad,sc,taqqa,,right here beside me,juste ici à côté de moi,.
taangna,pd,ml,taaksu,s,that one over there,celui-là là-bas,.
tavanna,pd,ml,tavatsu,s,that one over there,celui-là là-bas,.
imna,pd,ml,ipsu,s,"the invisible, unseen one","celui-là invisible, non-visible",.
taimna,pd,ml,taipsu,s,"the invisible, unseen one","celui-là invisible, non-visible",.
ubva,ad,sc,uv,,right here beside me,juste ici à côté de moi,.
tagva,ad,sc,tagv,,right here beside me,juste ici à côté de moi,.
ikka,ad,sc,ik,,over there not beside me,là pas à côté de moi,.
taika,ad,sc,taik,,over there not beside me,là pas à côté de moi,.
pikka,ad,sc,pik,,up there above the viewer,là au-dessus,.
takpika,ad,sc,takpik,,up there above the viewer,là au-dessus,.
kanna,ad,sc,kan,,down there below the viewer,là en-dessous,.
takanna,ad,sc,takan,,down there below the viewer,là en-dessous,.
majja,ad,ml,ma,,right here beside me,juste ici à côté de moi,.
tamajja,ad,ml,tama,,right here beside me,juste ici à côté de moi,.
avva,ad,ml,av,,over there not beside me,là pas à côté de moi,.
tauva,ad,ml,tauv,,over there not beside me,là pas à côté de moi,.
pagga,ad,ml,pa,,up there above the viewer,là au-dessus,.
takpaka,ad,ml,takpa,,up there above the viewer,là au-dessus,.
ugga,ad,ml,un,,down there below the viewer,là en-dessous,.
tauka,ad,ml,tauk,,down there below the viewer,là en-dessous,.
una,pd,sc,uu,s,this one right here,celui-ci juste ici,.
taamna,pd,sc,taapsu,s,this one right here,celui-ci juste ici,.
ingna,pd,sc,iksu,s,that one over there,celui-là là-bas,.
taingna,pd,sc,taiksu,s,that one over there,celui-là là-bas,.
pingna,pd,sc,piksu,s,the one up there,celui en haut,.
takpingna,pd,sc,takpiksu,s,the one up there,celui en haut,.
kanna,pd,sc,katu kaksu,s,the one down there,celui en bas,.
takanna,pd,sc,takatu takaksu,s,the one down there,celui en bas,.
ukua,pd,sc,uku,p,these ones right here,ceux-ci juste ici,.
taakkua,pd,sc,taakku,p,these ones right here,ceux-ci juste ici,.
ikkua,pd,sc,ikku,p,those ones over there,ceux-là là-bas,.
taikkua,pd,sc,taikku,p,those ones over there,ceux-là là-bas,.
pikkua,pd,sc,pikku,p,the ones up there,ceux en haut,.
takpikkua,pd,sc,takpikku,p,the ones up there,ceux en haut,.
kakkua,pd,sc,kakku,p,the ones down there,ceux en bas,.
takakkua,pd,sc,takakku,p,the ones down there,ceux en bas,.
manna,pd,ml,matu maksu,s,this one right here,celui-ci juste ici,.
tamanna,pd,ml,tamatu tamaksu,s,this one right here,celui-ci juste ici,.
angna,pd,ml,aksu,s,that one over there,celui-là là-bas,.
tauvangna,pd,ml,tauvaksu,s,that one over there,celui-là là-bas,.
pangna,pd,ml,paksu,s,the one up there,celui en haut,.
takpangna,pd,ml,takpaksu,s,the one up there,celui en haut,.
ungna,pd,ml,uksu,s,the one down there,celui en bas,.
taungna,pd,ml,tauksu,s,the one down there,celui en bas,.
makua,pd,ml,maku,p,these ones right here,ceux-ci juste ici,.
tamakkua,pd,ml,tamakku,p,these ones right here,ceux-ci juste ici,.
akkua,pd,ml,akku,p,those ones over there,ceux-là là-bas,.
tauvakkua,pd,ml,tauvakku,p,those ones over there,ceux-là là-bas,.
pakkua,pd,ml,pakku,p,the ones up there,ceux en haut,.
takpakkua,pd,ml,takpakku,p,the ones up there,ceux en haut,.
ukkua,pd,ml,ukku,p,the ones down there,ceux en bas,.
taukkua,pd,ml,taukku,p,the ones down there,ceux en bas,.
taava,ad,sc,taav,,out that way in the distance,par là-bas au loin,.
