morpheme,type,case,number,engMean,freMean
ani,tad,loc,,in,dans
anngat,tad,abl,,from,de (origine)
unga,tad,dat,,to,"à (destination), vers"
uuna,tad,via,,through,à travers
ma,tpd,gen,s,of (genitive),de (appartenance)
minga,tpd,acc,s,direct object,objet direct
ninga,tpd,acc,p,direct object,objet direct
mani,tpd,loc,s,in,dans
nani,tpd,loc,p,in,dans
manngat,tpd,abl,s,from,de (origine)
nanngat,tpd,abl,p,from,de (origine)
munga,tpd,dat,s,to,"à (destination), vers"
nunga,tpd,dat,p,to,"à (destination), vers"
muuna,tpd,via,s,through,à travers
nuuna,tpd,via,p,through,à travers
tunaq,tpd,sim,s,like,comme
titunaq,tpd,sim,p,like,comme
