morpheme,type,case,number,perPoss,numbPoss,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrec,sources
t,tn,nom,p,,,,n,,-,-,,,s,,,s,,pl:t,H2
k,tn,nom,d,,,,allV,x,,iallV(i),,,sallV,x,,sallV,x,,H2
it,tn,nom,p,,,,n,decap,,n,,,s,decap,,s,decap,,H2
up,tn,gen,s,,,,n,decap,,s i(i),decap -,,s,decap,,s,decap,,H2
k,tn,gen,d,,,,allV,x,,iallV(i),,,sallV,x,,sallV,x,,H2
it,tn,gen,p,,,,n,decap,,n,,,s,decap,,s,decap,,H2
mik,tn,acc,s,,,,n,,,a i(i),,,"nas a if(id:giik/1nn,s)",,,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
ngnik,tn,acc,d,,,nnik,allV,x,* nnik,iallV(i),,* nnik,sallV,x,* nnik,sallV,x,,H2
nik,tn,acc,p,,,,n,,,a i(i),,,nas a,,,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
mut,tn,dat,s,,,,n,,,a i(i) n,- - s,,nas a n,- - s,,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn|id:jaq/1vn,s,nas) n",- s,,H2
ngnut,tn,dat,d,,,nnut,allV,x,* nnut,iallV(i),,* nnut,sallV,x,* nnut,sallV,x,,H2
nut,tn,dat,p,,,,n,,,a i(i) n,- - s,,nas a n,- - s,,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
mit,tn,abl,s,,,,n,,,a i(i),,,nas a,,,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
ngnit,tn,abl,d,,,nnit,allV,x,* nnit,iallV(i),,* nnit,sallV,x,* nnit,sallV,x,,H2
nit,tn,abl,p,,,,n,,,a i(i),,,nas a,,,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
mi,tn,loc,s,,,,n,,,a i(i),,,nas a,,,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
ngni,tn,loc,d,,,nni,allV,x,* nni,iallV(i),,,sallV,x,,sallV,x,,H2
ni,tn,loc,p,,,,n,,,a i(i),,,nas a,,,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
tut,tn,sim,s,,,,n,,,i(i),,,n,,,"n if(id:juq/1vn,s)",,,H2
ktut,tn,sim,d,,,ktitut,allV,x,* ktitut,iallV(i),,* ktitut,sallV,x,* ktitut,sallV,x,,H2
titut,tn,sim,p,,,,n,,,i(i),,,n,,,"n if(id:juq/1vn,s)",,,H2
kkut,tn,via,s,,,,n,,,i(i),,,s,,,s,,,H2
kkut,tn,via,d,,,,allV,x,,iallV(i),,,sallV,x,,sallV,x,,H2
tigut,tn,via,p,,,,n,,,i(i),,,n,,,"n if(id:juq/1vn,s)",,,H2
ga,tn,nom,s,1,s,,n,,,i(i),,,s,,ra,fus,,,H2
kka,tn,nom,d,1,s,,allV,x,,iallV(i),,,sallV,x,,sallV,x,,H2
kka,tn,nom,p,1,s,,n,,,i(i),,,s,,,s,,,H2
ma,tn,gen,s,1,s,,n,,,i(i) i(im),,,s a,,,nas s,,,H2
kka,tn,gen,d,1,s,ngma,allV,x,* ngma,iallV(i),,* ngma,sallV,x,* ngma,sallV,x,,H2
kka,tn,gen,p,1,s,,n,,,i(i),,,s,,,s,,,H2
nnik,tn,acc,s,1,s,mnik,n,,* mnik,i(i),,* mnik,s,,* mnik,s,,,H2
nnik,tn,acc,d,1,s,mnik,allV,x,* mnik,iallV(i),,* mnik,sallV,x,* mnik,sallV,x,,H2
nnik,tn,acc,p,1,s,mnik,n,,* mnik,i(i),,* mnik,s,,* mnik,s,,,H2
nnut,tn,dat,s,1,s,mnut,n,,* mnut,i(i),,* mnut,s,,* mnut,s,,,H2
nnut,tn,dat,d,1,s,mnut,allV,x,* mnut,iallV(i),,* mnut,sallV,x,* mnut,sallV,x,,H2
nnut,tn,dat,p,1,s,mnut,n,,* mnut,i(i),,* mnut,s,,* mnut,s,,,H2
nnit,tn,abl,s,1,s,mnit,n,,* mnit,i(i),,* mnit,s,,* mnit,s,,,H2
nnit,tn,abl,d,1,s,mnit,allV,x,* mnit,iallV(i),,* mnit,sallV,x,* mnit,sallV,x,,H2
nnit,tn,abl,p,1,s,mnit,n,,* mnit,i(i),,* mnit,s,,* mnit,s,,,H2
nni,tn,loc,s,1,s,mni,n,,* mni,i(i),,* mni,s,,* mni,s,,,H2
nni,tn,loc,d,1,s,mni,allV,x,* mni,iallV(i),,* mni,sallV,x,* mni,sallV,x,,H2
nni,tn,loc,p,1,s,mni,n,,* mni,i(i),,* mni,s,,* mni,s,,,H2
ttut,tn,sim,s,1,s,ptut,n,,* ptut,i(i),,* ptut,s,,* ptut,s,,,H2
ttut,tn,sim,d,1,s,ptut,allV,x,* ptut,iallV(i),,* ptut,sallV,x,* ptut,sallV,x,,H2
ttut,tn,sim,p,1,s,ptut ttitut,n,,* ptut ttitut,i(i),,* ptut ttitut,s,,* ptut ttitut,s,,,H2
kkut,tn,via,s,1,s,pkut,n,,* pkut,i(i),,* pkut,s,,* pkut,s,,,H2
kkut,tn,via,d,1,s,pkut,allV,x,* pkut,iallV(i),,* pkut,sallV,x,* pkut,sallV,x,,H2
