morpheme,type,mode,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
junga,tv,ger,nsp,1,s,,,,n,,tunga,n,,tunga,n,,tunga,n,,,?
jutit,tv,ger,nsp,2,s,,,,n,,tutit,n,,tutit,n,,tutit,n,,,?
juq,tv,ger,nsp,3,s,,,,n,,tuq,n,,tuq,n,,tuq,n,,,?
juguk,tv,ger,nsp,1,d,,,,n,,tuguk,n,,tuguk,n,,tuguk,n,,,?
jusik,tv,ger,nsp,2,d,,,jutik,n,,tusik tutik,n,,tusik tutik,n,,tusik tutik,n,,,?
juuk,tv,ger,nsp,3,d,,,juk,n,,tuuk tuk,n,,tuuk tuk,n,,tuuk tuk,n,,,?
jugut,tv,ger,nsp,1,p,,,,n,,tugut,n,,tugut,n,,tugut,n,,,?
jusi,tv,ger,nsp,2,p,,,,n,,tusi,n,,tusi,n,,tusi,n,,,?
jut,tv,ger,nsp,3,p,,,,n,,tut,n,,tut,n,,tut,n,,,?
vunga,tv,dec,nsp,1,s,,,,n,,punga,a,,punga,n,,punga qunga,n son,,,?
vutit,tv,dec,nsp,2,s,,,,n,,putit,a,,putit,n,,putit qutit,n son,,,?
vuq,tv,dec,nsp,3,s,,,,n,,puq,a,,puq,n,,puq quq,n son,,,?
vuguk,tv,dec,nsp,1,d,,,,n,,puguk,a,,puguk,n,,puguk quguk,n son,,,?
vusik,tv,dec,nsp,2,d,,,vutik,n,,pusik putik,a,,pusik putik,n,,pusik qusik putik qutik,n son n son,,,?
vuuk,tv,dec,nsp,3,d,,,vuk,n,,puuk puk,a,,puuk puk,n,,puuk quuk puk quk,n son n son,,,?
vugut,tv,dec,nsp,1,p,,,,n,,pugut,a,,pugut,n,,pugut qugut,n son,,,?
vusi,tv,dec,nsp,2,p,,,,n,,pusi,a,,pusi,n,,pusi qusi,n son,,,?
vut,tv,dec,nsp,3,p,,,,n,,put,a,,put,n,,put qut,n son,,,?
langa,tv,dec,nsp,1,s,,,,n,,,s,,,s,,,s,,id:nngit/1vv,?
latit,tv,dec,nsp,2,s,,,,n,,,s,,,s,,,s,,id:nngit/1vv,?
laq,tv,dec,nsp,3,s,,,,n,,,s,,,s,,,s,,id:nngit/1vv,?
laguk,tv,dec,nsp,1,d,,,,n,,,s,,,s,,,s,,id:nngit/1vv,?
lasik,tv,dec,nsp,2,d,,,latik,n,,* latik,s,,* latik,s,,* latik,s,,id:nngit/1vv,?
lak,tv,dec,nsp,3,d,,,,n,,,s,,,s,,,s,,id:nngit/1vv,?
lagut,tv,dec,nsp,1,p,,,,n,,,s,,,s,,,s,,id:nngit/1vv,?
lasi,tv,dec,nsp,2,p,,,,n,,,s,,,s,,,s,,id:nngit/1vv,?
lat,tv,dec,nsp,3,p,,,,n,,,s,,,s,,,s,,id:nngit/1vv,?
vunga,tv,int,nsp,1,s,,,,n,,punga,a,,punga,n,,punga qunga,n son,,,?
vit,tv,int,nsp,2,s,,,,n,,pit,a,,pit,n,,pit qit,n son,,,?
va,tv,int,nsp,3,s,,,,n,,pa,a,,pa,n,,pa qa,n son,,,?
vinuk,tv,int,nsp,1,d,,,,n,,pinuk,a,,pinuk,n,,pinuk qinuk,n son,,,?
visik,tv,int,nsp,2,d,,,vitik,n,,pisik pitik,a,,pisik pitik,n,,pisik qisik pitik qitik,n son n son,,,?
vak,tv,int,nsp,3,d,,,,n,,pak,a,,pak,n,,pak qak,n son,,,?
vita,tv,int,nsp,1,p,,,,n,,pita,a,,pita,n,,pita qita,n son,,,?
visi,tv,int,nsp,2,p,,,,n,,pisi,a,,pisi,n,,pisi qisi,n son,,,?
vat,tv,int,nsp,3,p,,,,n,,pat,a,,pat,n,,pat qat,n son,,,?
langa,tv,int,nsp,1,s,,,,n,,,s,,,s,,,s,,id:nngit/1vv,?
latit,tv,int,nsp,2,s,,,,n,,,s,,,s,,,s,,id:nngit/1vv,?
laq,tv,int,nsp,3,s,,,,n,,,s,,,s,,,s,,id:nngit/1vv,?
laguk,tv,int,nsp,1,d,,,,n,,,s,,,s,,,s,,id:nngit/1vv,?
lasik,tv,int,nsp,2,d,,,latik,n,,* latik,s,,* latik,s,,* latik,s,,id:nngit/1vv,?
lak,tv,int,nsp,3,d,,,,n,,,s,,,s,,,s,,id:nngit/1vv,?
lagut,tv,int,nsp,1,p,,,,n,,,s,,,s,,,s,,id:nngit/1vv,?
lasi,tv,int,nsp,2,p,,,,n,,,s,,,s,,,s,,id:nngit/1vv,?
lat,tv,int,nsp,3,p,,,,n,,,s,,,s,,,s,,id:nngit/1vv,?
vinga,tv,int,sp,2,s,1,s,,n,,pinga,a,,pinga,n,,pinga,n,,,?
vaanga,tv,int,sp,3,s,1,s,,n,,paanga,a,,paanga,n,,paanga,n,,,?
vagit,tv,int,sp,1,s,2,s,,n,,pagit,a,,pagit,n,,pagit,n,,,?
vaatit,tv,int,sp,3,s,2,s,,n,,paatit,a,,paatit,n,,paatit,n,,,?
vigu,tv,int,sp,1,s,3,s,,n,,pigu,a,,pigu,n,,pigu,n,,,?
viuk,tv,int,sp,2,s,3,s,,n,,piuk,a,,piuk,n,,piuk,n,,,?
vauk,tv,int,sp,3,s,3,s,,n,,pauk,a,,pauk,n,,pauk,n,,,?
langa,tv,int,sp,2,s,1,s,,n,,,s,,,s,,,s,,id:nngit/1vv,?
laanga,tv,int,sp,3,s,1,s,,n,,,s,,,s,,,s,,id:nngit/1vv,?
lagit,tv,int,sp,1,s,2,s,,n,,,s,,,s,,,s,,id:nngit/1vv,?
laatit,tv,int,sp,3,s,2,s,,n,,,s,,,s,,,s,,id:nngit/1vv,?
lagu,tv,int,sp,1,s,3,s,,n,,,s,,,s,,,s,,id:nngit/1vv,?
liuk,tv,int,sp,2,s,3,s,,n,,,s,,,s,,,s,,id:nngit/1vv,?
lauk,tv,int,sp,3,s,3,s,,n,,,s,,,s,,,s,,id:nngit/1vv,?
langa,tv,imp,nsp,1,s,,,,n,,,son,,,son,,,son,,,?
git,tv,imp,nsp,2,s,,,,n,,tit *,n s,,,fus,,rit,fus,,,?
li,tv,imp,nsp,3,s,,,,n,,,son,,,son,,,son,,,?
luk,tv,imp,nsp,1,d,,,,n,,,son,,,son,,,son,,,?
gissik,tv,imp,nsp,2,d,,,gittik,n,,tissik * tittik gittik,n s n s,,* gittik,fus,,rissik rittik,fus,,,?
lik,tv,imp,nsp,3,d,,,,n,,,son,,,son,,,son,,,?
ta,tv,imp,nsp,1,p,,,,n i(p) i(t),,,n,,,n a,,,n,,,?
