morpheme,variant,nb,type,nature,number,compositionRoot,freMean,engMean,combination,root,END
aalpuuta,aalvuuta aavuta alpurta alputa alpuuta,1,n,place,,,Alberta,Alberta,,,.
aantaariu,aantiuriju aantiuriu antiuriu,1,n,place,,,Ontario,Ontario,,,.
aapurika,aavrika aavuika,1,n,place,,,Afrique,Africa,,,.
aastria,,1,n,place,,,Autriche,Austria,,,.
aasturailan,aasturailia aasturailija aasturiilia aasturiilija aasturilia asiturailia asturailia,1,n,place,,,Australie,Australia,,,.
aatuaa,aatuvaa,1,n,place,,,Ottawa,Ottawa,,,.
aavgaanastaan,avganistaan,1,n,place,,,Afghanistan,Afghanistan,,,.
ailan,,1,n,place,,,Île,Island,,,.
airaan,,1,n,place,,,Iran,Iran,,,.
airilin,,1,n,place,,,Irlande,Ireland,,,.
aivilik,,1,n,place,,,communauté de Repulse Bay,settlement of Repulse Bay,,aiviq,.
akpatuuraarjuk,,1,n,place,,,Walrus Island,Walrus Island,,akpa,.
akpatuurjuaq,,1,n,place,,,Coats Island (endroit abondant en guillemots),Coats Island (place abounding in murres),,akpa,.
akukittuq,,1,n,place,,,Groënlande,Greenland,,,.
akulik,,1,n,place,,,Committee Bay,Committee Bay,,aku,.
akulivik,,1,n,place,,,Akulivik,Akulivik,,,.
akulliq,,1,n,place,,,Akulliq,Akulliq,,,.
amialiga,amialika amialikka amiarika,1,n,place,,,Amérique,America,,,.
amittuq,,1,n,place,,,Amittuq,Amittuq,,,.
aqiarungnaq,,1,n,place,,,Duke of Yok Bay (au nord de l'île Southampton),Duke of York Bay (N. of Southampton Is.),,aqiaruq,.
arviat,,1,n,place,p,arviaq,communauté de Eskimo Point,settlement of Eskimo Point,,arviq,.
arvik,,1,n,place,,,Polaris,Polaris,,,.
arviligjuaq,arvilijjuaq arvilirjuaq,1,n,place,,,Pelly Bay,Pelly Bay,,arviq,.
aujuittuq,ausuittuq,1,n,place,,,Grise Fjord,Grise Fjord,,,.
guialv,guilv guiuv guiv,1,n,place,,,Guelph,Guelph,,,.
Hai,,1,n,place,,,Hay (River),Hay (River),,,.
Halipaaksi,Halivaaksi Halivaks Halivaksi,1,n,place,,,Halifax,Halifax,,,.
Hatsan,,1,n,place,,,Hudson (Bay),Hudson (Bay),,,.
huas,,1,n,place,,,(White) Horse,Horse,,,.
iatmantan,itmantan,1,n,place,,,Edmonton,Edmonton,,,.
iatvut,,1,n,place,,,Edward,Edward,,,.
iglua,,1,n,place,,,Navy Board Inlet,Navy Board Inlet,,iglu,.
igluligaarjuk,,1,n,place,,,Chesterfield Inlet,Chesterfield Inlet,,iglu,.
iglulik,,1,n,place,,,Igloolik; île au nord de la péninsule de Melville; communauté,Igloolik; island north of Melville Peninsula; settlement,,,.
iglurjuartalik,,1,n,place,,,une des îles Harbour (dans les environs de Repulse Bay),one of Harbour Islands (Repulse Bay area),,iglu,.
iinngala,ingala inglan inglin inngala,1,n,place,,,Angleterre,England,,,.
ikati,,1,n,place,,,Ekati,Ekati,,,.
ikkattuaq,,1,n,place,,,Baie de God's Mercy,Bay of God's Mercy,,ikkat,.
ikkuatua,ikuatua,1,n,place,,,Equateur,Ecuador,,,.
ikpiarjuk,,1,n,place,,,Arctic Bay,Arctic Bay,,ikpiarjuk,.
ikpik,,1,n,place,,,Thom Bay (Boothia),Thom Bay (Boothia),,ikpik,.
iku,iiku iaku iuku,1,n,place,,,Echo,Echo,,,.
iluvialuktalik,,1,n,place,,,Porden Point (nord de l'île Devon),Porden Point (north side of Devon Island),,,.
iluvirtalik,,1,n,place,,,une des îles Harbour (dans les environs de Repulse Bay),one of Harbour Islands (Repulse Bay area),,ilu,.
inukjuak,inukjuaq,1,n,place,,,Port Harrison (côte est de la Baie d'Hudson),Port Harrison (East Coast Hudson Bay),,inuk,.
inuvik,inuuvik,1,n,place,,,Inuvik,Inuvik,,,.
iqaluit,,1,n,place,p,iqaluk,Iqaluit,Iqaluit,,iqaluk,.
iqaluktuutsiaq,,1,n,place,,,Cambridge Bay,Cambridge Bay,,iqaluk,.
iqqursiq,,1,n,place,,,île la plus au nord des deux îles Hall dans le canal Hurd,northern island of the two Hall Islands in Hurd Channel,,,.
iraak,,1,n,place,,,Irak,Irak,,,.
itirjuk,,1,n,place,,,Gore Bay (dans la région de Repulse Bay),Gore Bay (Repulse Bay area),,itiq,.
ittinaapik,,1,n,place,,,Ittinaapik,Ittinaapik,,,.
iurisuuna,iurijuuna airijuna,1,n,place,,,Arizona,Arizona,,,.
jaamani,,1,n,place,,,Allemagne,Germany,,,.
