verb,passive
bag,bagged
beat,beaten
bend,bent
bind,bound
bite,bitten
blow,blown
break,broken
bring,brought
burn,burnt
burst,burst
catch,caught
chip,chipped
choose,chosen
chop,chopped
clip,clipped
counsel,counselled
cut,cut
draw,drawn
embed,embedded
get,gotten
give,given
give,given
grind,ground
grip,gripped
hang,hung
hide,hidden
hit,hit
hold,held
jam,jammed
keep,kept
knot,knotted
leave,left
lop,lopped
make,made
meet,met
mislead,misled
over-top,over-topped
peg,pegged
plug,plugged
propel,propelled
put,put
rip,ripped
set,set
shake,shaken
shoot,shot
sip,sipped
slap,slapped
snap,snapped
spin,spun
split,split
spread,spread
stick,stuck
stir,stirred
stop,stopped
strike,struck
stun,stunned
take,taken
teach,taught
tear,torn
thin,thinned
throw,thrown
tip,tipped
tread,trod
trim,trimmed
tug,tugged
understand,understood
undo,undone
unknot,unknotted
wear,worn
wind,wound
wring,wrung
sew,sewn
creep,crept
