verb,passive
atteindre,atteint
battre,battu
comprendre,compris
couvrir,couvert
cuire,cuit
défaire,défait
descendre,descendu
élire,élu
éteindre,éteint
étendre,étendu
faire,fait
fendre,fendu
frire,frit
instruire,instruit
mettre,mis
mordre,mordu
moudre,moulu
offrir,offert
peindre,peint
pendre,pendu
prendre,pris
rejoindre,rejoint
rendre,rendu
répandre,répandu
reprendre,repris
saisir,saisi
secourir,secouru
tenir,tenu
tondre,tondu
vouloir,voulu
coudre,cousu
surprendre,surpris
