morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,source,dialect,cf,END
aa,,1,v,i,,,,,,,,"to choke from emotional cause, like crying or laughing","s'étouffer par émotion, par exemple en pleurant ou en riant",,,,.
aa,,1,a,,,,,,,,,"yes, in S. Baffin, Ungava and ECHB","oui (Terre de Baffin sud, Ungava et côte est de la Baie d'Hudson)",,,,.
a-aaq,,1,v,i,,,,,,,,to hurt,,,,,
a-aaq,,1,e,,,,,,,,,exclamation of pain: 'Ouch',exclamation de douleur: 'Aïe',,,,.
aajuq,,1,v,i,a,,,,,,,to be moist,"être humide, moite",,,,.
aak,,1,v,t,,,,,,,si/1vv,"[-R](1) to /offer, /give, /bring s.t. to someone (-mut)",,,,,
aakka,,1,a,,,,,,,,,"no, in N. Baffin and WCHB",non (Terre de Baffin nord et côte ouest de la Baie d'Hudson),,,,.
aaktuq,,1,v,i,,,,,,nil,,to skin s.t. (-mik) (an animal),dépouiller qqch. (-mik) (un animal),,,,.
aalla,,1,n,,,,,,,,,stranger,,,,,
aalliraq,,1,n,,,,,,,,,table,,,,,
aamai,,1,e,,,,,,,,,"disclaimer: 'I don't know' ; 'I don't want to say' (N. Baffin, WCHB)",,,,,
aanga,,1,v,i,a,,,,,,,to be in a torpor,,,,,
aanniq,,1,v,i,,,,,,,,to be in pain,,,,,
aaqqik,,1,v,t,,,,,,,i/1vv,"to /correct, /fix, /repair, /adjust, /heal s.t.","/corriger, /réparer, /ajuster, /apaiser qqch.",,,,.
aar&uq,,1,v,i,,,,,,nil,,to look up,,,,,
aariaq,,1,n,,ana,,,,,,,back,dos,,,,.
aarluk,,1,n,,zoo,,,,,,,killer whale,orque,,,,.
aarnga,,1,e,,,,,,,,,exclamation of distaste: 'Phew!' ,,,,,
aasit,,1,e,,,,,,,,,expression of disparagement: 'As usual!',"expression de dénigrement, dépréciation: 'Comme d'habitude!'",,,,.
aasivak,,1,n,,zoo,,,,,,,earth spider,mygale,,,,.
aatajaq,,1,v,i,,,,,,,,to play traditional game of catch,jouer au jeu de balle traditionnel,,,,.
aatajaq,,1,n,,,,,,,,,small bag of sand or fine stones used in game of catch,petit sac de sable ou de petits cailloux utilisé dans un jeu de balle,,,,.
aattaq,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to be afraid of what others will say about s.t.,,,,,
abguq,,1,v,t,,,,,,,si/1vv i/1vv,[-R]to /cut s.t. up in small pieces,[-R]/couper qqch. en petits morceaux,,,,.
ablaaq,ablaak,1,v,i,,,,,,nil,,to open one's legs in stride position (trans.: over s.t.),,,,,
abluq,,1,v,i,,,,,,nil,,to step or stride forward (trans.: over s.t.),faire un pas vers l'avant ou avancer à grands pas (trans.: enjamber qqch.),,,,.
abvaq,,1,n,,,,,,,,,(1) part,,,,,
aggak,,1,n,,ana,,,,,,,hand,main,,,,.
aggak,,2,n,,,,,,,,,(1) glove (2) saw-handle of hand-saw,(1) gant (2) poignée d'une scie à main,,,,.
aggiq,,1,v,i,,,,,,,,to come home,,,,,
aggiq,,2,v,t,res,,,,,,si/1vv,to /cook s.t. over open flame or on spit,/cuire qqch. au-dessus d'un feu ou sur un broche,,,,.
aggiq,,1,n,,,,,,,,,meat cooked on open fire or spit,viande cuite au-dessus d'un feu ou sur une broche,,,,.
agguaq,,1,v,t,,,,,,,si/1vv,[-R]to /patch s.t. (a garment) in overlap fashion,[-R]/rapiécer qqch. (un vêtement) par chevauchement,,,,.
agguq,,1,v,i,,,,,,,,to face or travel into the wind,faire face au vent,,,,
agguq,,1,n,,,,,,,,,windward side of prevailing wind,côté dans la direction des vents prédominants,,,,.
agiaq,,1,v,i,,,,,,nil,,to file s.t. or use a file on s.t.,limer qqch.,,,,
agiaq,,1,n,,,,,,,,,metal file or rasp,lime ou râpe à métal,,,,.
