morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,dialect,combination,root,rootNb,rootType,END
aippiq,,1,v,t,,,,,,,i/1vv,[T]to add a second thing to s.t.[P]to be added a second thing,[T]ajouter une deuxième chose à qqch.[P]se faire ajouter une deuxième chose,,,aippaq,1,n,.
ait,,1,v,t,,,,,,,si/1vv,[-R]to /fetch or /bring s.t.,"[-R]/apporter, /rapporter qqch.",,ai/1v+t/1vv,,,,.
amisut,,1,n,,,,,,,,,many things,plusieurs choses,,,,,,.
ariut,,1,v,t,,,,,,,si/1v,[-R]to /reject s.o. or s.t.; not to /want s.t. or /love s.o. any longer,[-R]/rejeter qqn ou qqch.; ne plus /aimer qqn ou /vouloir qqch.,,ariu/1v+t/1vv,,,,.
aulat,,1,v,t,,,,,,,si/1vv,[-R]to /direct or /govern s.t.,"[-R]/diriger, /administrer qqch.",,aula/1v+t/1vv,,,,.
igluvigaq,,1,n,,,,,,,,,snow house; inhabited snow house,habitation faite de neige,,iglu/1n+?,,,,.
inuusiq,,1,n,,,,,,,,,"one's life, experience","vie, expérience de qqn",,,inuk,1,n,.
katit,,1,v,t,res,,,,,,si/1vv,[-R]to /put s.t. together; to /assemble s.t. [R]to come together to form one,[-R]/assembler qqch.[R]s'unir pour ne former qu'un,,kati/1v+t/1vv,,,,.
manni,,1,t,,,,,,,,,[T]to resign or steel oneself to receive attack or insult from s.o.,"[T]se résigner, se préparer à recevoir une attaque ou une insulte de qqn.",,,mannik,1,v,.
mannuq,,1,v,i,,,,,,,,to shrink or sink into the ground; to settle,"rétrécir, se contracter ou s'enfoncer dans le sol; se tasser",,mannak/1v+?,,,,.
marruuk,,1,n,,,,,,,,,two; number two,deux; nombre deux,,,marru,1,n,.
massak,,1,v,i,,,,,,,,to make the noise of s.t. wet,faire le bruit de qqch. qui est mouillé,,,masak,1,n,.
mau,,1,v,i,,,,,,,,to fall through or to get stuck in deep soft snow,s'enfoncer ou s'enliser dans la neige molle profonde,,,mauja,1,n,.
maujaq,,1,v,i,,,,,,,,to get stuck in deep soft snow repeatedly,s'enliser dans la neige molle profonde de façon répétée,,,mauja,1,n,.
maujjak,,1,v,i,a,,,,,,,to be now covered with deep soft snow,être maintenant recouvert de neige molle profonde,,,mauja,1,n,.
mik&i,,1,v,i,,,,,,nil,,to get smaller; trans.: to make s.t. smaller,devenir plus petit; trans.: rapetisser qqch.,,,miki,1,v,.
mikaq,,1,v,i,,,,,,nil,,"to bite s.t., nipple s.t., tear at s.t. with the teeth repeatedly",mordre qqch.; mordiller qqch.; déchirer qqch. avec les dents de façon répétée,,,mikik,1,v,.
mikigaq,,1,n,,,,,,,,,raw meat,viande crue,,,mikik,1,v,.
mikiliraq,,1,n,,,,,,,,,ring finger; third finger,annulaire; troisième doigt,,,miki,1,v,.
millaq,,1,n,,,,,,,,,chip on the surface or coating of s.t.,"fragment, ébréchure, éclat à la surface de quelque chose",,,miliq,1,v,.
milluaq,,1,v,t,,,,,,,si/1vv,[-R]to /suck s.t. in with a series of sucks,[-R]/sucer qqch. en une série de succions,,,miluk,1,v,.
miqqiaq,,1,n,,,,,,,,,(1) seal's new hair after shedding in spring (2) a seal whose hair is not falling out in the spring,(1) nouvelle fourrure du phoque après la mue du printemps (2) un phoque qui n'a pas perdu ses poils au printemps,,,miqquq,1,n,.
mittau,,1,v,i,a,,,,,,,to be passed over in the communal food or game sharing,être mis de côté lors du partage du repas ou du gibier,,,,,,.
naalaut,naalautik,1,n,,,,,,,,,radio,radio,,,naalak,1,v,.
naaqquq,,1,n,,,,,,,,,full moon,pleine lune,,,naaq,1,n,.
nabgit,,1,v,t,,,,,,,si/1vv,to /break s.o.'s or s.t.'s leg,[T]briser la jambe de qqn ou la patte d'un animal[P]se faire briser la jambe ou la patte[R]se briser la jambe ou la patte,,nabgi/1v+t/1vv,,,,.
nabluq,,1,v,t,res,,,,,,si/1vv,to /break or /snap s.t. across in several places or several times,/briser ou /casser qqch. en plusieurs endroits ou plusieurs fois,,,napi,1,v,.
naggavik,,1,n,,,,,,,,,table; bench,table; établi,,,,,,.
nakasirvik,,1,n,,,,,,,,,front-site base of a rifle (where bead is placed),base du guidon d'une arme à feu (là où la mire est placée),,,nakataq,1,n,.
nakasungnak,,1,n,,ana,,,,,,,calf of leg,mollet,,,nakasuk,1,n,.
nakasungnaktuq,,1,n,,,,,,,,,frog or toad,grenouille ou crapaud,,,nakasungnak,1,n,.
nakataq,,1,v,i,,,,,,,,to throw stones or other objects at a standing target to knock it down,lancer des pierres ou d'autres objets à une cible stationnaire pour la faire tomber,,,nakataq,1,n,.
nakiit,,1,v,i,,,,,,,,"to shoot under the mark, due to faulty site adjustment or alignment","tirer en-dessous de la cible, à cause d'un mauvais alignement",,,nakiq,1,v,.
naktibvik,,1,n,,,,,,,,,hook; catch; peg for hanging clothes; catch of lock,"crochet; tige pour accrocher les vêtements; fermeture d'une serrure, d'un cadenas",,?+vik/3vn,naktit,1,v,.
naktit,,1,v,t,,,,,,,si/1vv,to /hook or /catch s.t. on something protruding,"/accrocher, /pendre  qqch. à un objet en saillie",,?+t/1vv,,,,.
nalliutiniq,,1,n,,,,,,,,,birthday,anniversaire,,,nalliuti,1,v,.
nanijjutiksaq,,1,n,,,,,,,,,address; identification card,adresse; carte d'identification,,,nani,1,a,.
nanirut,nanirutik,1,n,,,,,,,,,lantern; beacon [WCHB]; flashlight [ECHB],lanterne; balise [côte ouest Baie d'Hudson]; torche électrique [côte est Baie d'Hudson],,,nani,1,a,.
nanuiq,,1,v,t,,,,,,,,"[-R]to /ice s.t. (the peat on the runners of a sled) with a damp skin, usually a bear skin","[-R]/glacer qqch. (la mousse sur les patins d'un traîneau) avec une peau humide, d'habitude une peau d'ours",,nanuq/1n+iq/?,,,,.
nanunnguaq,,1,n,,,,,,,,,"cup for ""cup-and-ball"" game",gobelet pour le jeu de bilboquet,,,nanuq,1,n,.
nanuraq,,1,n,,,,,,,,,polar-bear skin,peau d'ours polaire,,,nanuq,1,n,.
nanuujaq,,1,n,,zoo,,,,,,,earth spider,araignée terrestre,,,nanuq,1,n,.
napaaqtuq,,1,n,,bot,,,,,,,tree,arbre,,,napa,1,v,.
naqaraq,,1,n,,,,,,,,,pan of snow placed on top of trap to hide it,plaque de neige placée au-dessus d'un piège pour le dissimuler,,,naqaq,1,v,.
narsiaq,,1,n,,,,,,,,,nose-guard or nose protector,protège-nez,,,narsit,1,v,.
nasirsurvik,,1,n,,,,,,,,,look-out; vantage point,point d'observation,,,nasit,1,v,.
nattaugaq,,1,n,,,,,,,,,Jew's harp,guimbarde,,,naktit,1,v,.
