verb;type;passive
bag;vw;bagged
beat;vw;beaten
bend;vw;bent
bind;vw;bound
bite;vw;bitten
blow;vw;blown
break;vw;broken
bring;vw;brought
burn;vw;burnt
burst;vw;burst
catch;vw;caught
chip;vw;chipped
choose;vw;chosen
chop;vw;chopped
clip;vw;clipped
counsel;vw;counselled
cut;vw;cut
draw;vw;drawn
embed;vw;embedded
get;vw;gotten
give;vw;given
give;vw;given
grind;vw;ground
grip;vw;gripped
hang;vw;hung
hide;vw;hidden
hit;vw;hit
hold;vw;held
jam;vw;jammed
keep;vw;kept
knot;vw;knotted
leave;vw;left
lop;vw;lopped
make;vw;made
meet;vw;met
mislead;vw;misled
over-top;vw;over-topped
peg;vw;pegged
plug;vw;plugged
propel;vw;propelled
put;vw;put
rip;vw;ripped
set;vw;set
shake;vw;shaken
shoot;vw;shot
sip;vw;sipped
slap;vw;slapped
snap;vw;snapped
spin;vw;spun
split;vw;split
spread;vw;spread
stick;vw;stuck
stir;vw;stirred
stop;vw;stopped
strike;vw;struck
stun;vw;stunned
take;vw;taken
teach;vw;taught
tear;vw;torn
thin;vw;thinned
throw;vw;thrown
tip;vw;tipped
tread;vw;trod
trim;vw;trimmed
tug;vw;tugged
understand;vw;understood
undo;vw;undone
unknot;vw;unknotted
wear;vw;worn
wind;vw;wound
wring;vw;wrung
sew;vw;sewn
creep;vw;crept
overtake;vw;overtaken
