verb;type;passive
atteindre;vw;atteint
battre;vw;battu
comprendre;vw;compris
couvrir;vw;couvert
cuire;vw;cuit
défaire;vw;défait
descendre;vw;descendu
élire;vw;élu
éteindre;vw;éteint
étendre;vw;étendu
faire;vw;fait
fendre;vw;fendu
frire;vw;frit
instruire;vw;instruit
mettre;vw;mis
mordre;vw;mordu
moudre;vw;moulu
offrir;vw;offert
peindre;vw;peint
pendre;vw;pendu
prendre;vw;pris
rejoindre;vw;rejoint
rendre;vw;rendu
répandre;vw;répandu
reprendre;vw;repris
saisir;vw;saisi
secourir;vw;secouru
tenir;vw;tenu
tondre;vw;tondu
vouloir;vw;voulu
coudre;vw;cousu
surprendre;vw;surpris
