morpheme;type;case;number;perPoss;numbPoss;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;condPrec;sources
t;tn;nom;p;;;t;n;n;;-;-;-;;t;s;s;;t;s;s;;pl:t;H2
k;tn;nom;d;;;k;n-n-allV;allV;x;k;i(ii);iallV(i);;k;s-n-allV;sallV;x;k;s-n-allV;sallV;x;;H2
it;tn;nom;p;;;it;n-decap;n;decap;it;n;n;;it;s-decap;s;decap;it;s-decap;s;decap;;H2
up;tn;gen;s;;;up;n-decap;n;decap;up up;s-decap i(i);s i(i);decap -;up;s-decap;s;decap;up;s-decap;s;decap;;H2
k;tn;gen;d;;;k;n-n-allV;allV;x;k;i(ii);iallV(i);;k;s-n-allV;sallV;x;k;s-n-allV;sallV;x;;H2
it;tn;gen;p;;;it;n-decap;n;decap;it;n;n;;it;s-decap;s;decap;it;s-decap;s;decap;;H2
mik;tn;acc;s;;;mik;n;n;;mik mik;a i(i);a i(i);;mik;if(id:giik/1nn,s,nas);nas a if(id:giik/1nn,s);;mik mik;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n; - s;;H2
ngnik;tn;acc;d;;;ngnik;n-n-allV;allV;x;ngnik;i(ii);iallV(i);;ngnik;s-n-allV;sallV;x;ngnik;s-n-allV;sallV;x;;H2
nik;tn;acc;p;;;nik;n;n;;nik nik;a i(i);a i(i);;nik;nas;nas a;;nik nik;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n; - s;;H2
mut;tn;dat;s;;;mut;n;n;;mut mut mut;a i(i) n-s;a i(i) n;"""- - s""";nut nut;nas n-s;nas n;"""- s""";nut nut;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn|id:jaq/1vn,s,nas) n;if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn|id:jaq/1vn,s,nas) n; - s;;H2
