morpheme;variant;key;type;transitivity;nature;number;compositionRoot;plural;intransSuffix;transSuffix;antipassive;engMean;freMean;source;dialect;cf;END
aa;;1;v;i;;;;;;;;to choke from emotional cause, like crying or laughing;s'étouffer par émotion, par exemple en pleurant ou en riant;;;;.
a-aaq;;1;v;i;;;;;;;;to hurt;;;;;
aajuq;;1;v;i;a;;;;;;;to be moist;être humide, moite;;;;.
aaktuq;;1;v;i;;;;;;nil;;"to skin (intrans.: an animal; trans.: s.t. (an animal))";"dépouiller (intrans.: un animal; trans.: qqch. (un animal))";;;;.
aanga;;1;v;i;a;;;;;;;to be in a torpor;;;;;
aanniq;;1;v;i;;;;;;;;to be in pain;;;;;
aar&uq;;1;v;i;;;;;;nil;;to look up (trans.: at s.t.);regarder en haut, lever les yeux (trans.: vers qqch.);;;;
aatajaq;;1;v;i;;;;;;;;to play traditional game of catch;jouer au jeu de balle traditionnel;;;;.
aattaq;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to be afraid of what others will say about s.t.;;;;;
ablaaq;ablaak;1;v;i;;;;;;nil;;to open one's legs in stride position (trans.: over s.t.);;;;;
abluq;;1;v;i;;;;;;nil;;to step or stride forward (trans.: over s.t.);faire un pas vers l'avant ou avancer à grands pas (trans.: enjamber qqch.);;;;.
aggiq;;1;v;i;;;;;;;;to come home;;;;;
agguq;;1;v;i;;;;;;;;to face or travel into the wind;faire face au vent;;;;
agiaq;;1;v;i;;;;;;nil;;"to file  s.t.;  to use a file on s.t.";limer qqch.;;;;
agli;;1;v;i;;;;;;;;to grow or get bigger;grandir, devenir plus grand, plus gros;;;;.
agviaq;;1;v;i;a;;;;;;;to be in the way;être dans le chemin (tel un obstacle);;;;.
ai;;1;v;i;;;;;;;;to go;;;;;
aijuraq;;1;v;i;;;;;;;;to develop long cracks, speaking of the sea ice;développer de longues fissures ou crevasse (la glace de mer);;;;.
aik&iq;;1;v;i;;;;;;nil;;to fetch s.t.;aller chercher qqch.;;;;.
ailaq;;1;v;i;a;;;;;;;to be damp with moisture, wet with dew, etc.;être mouillé par l'humidité, la rosée, etc.;;;;.
aillii;;1;v;i;;;;;;;;to have one's feet perspire;avoir les pieds qui transpirent;;;;.
aipa;;1;v;i;a;;;;;;;to be raw or uncooked;être cru, non cuit;;;;.
aiq;;1;v;i;;;;;;;;to have sleeves, speaking of a garment;avoir des manches (un vêtement);;;;.
aittaaq;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to regret politely about s.t.;regretter poliment par rapport à qqch.;;;;.
aittaq;;1;v;i;;;;;;;;to open one's mouth;ouvrir la bouche;;;;.
aiva;;1;v;i;;;;;;;;to argue, to have an altercation with one another;discuter, avoir une altercation avec qqn;;;;.
ajagaq;;1;v;i;;;;;;;;to play traditional game of 'cup-and-ball';jouer au jeu traditionnel 'cup-and-ball';;;;.
ajak;;1;v;i;;;;;;nil;;to push, to shove (trans.: s.t.);pousser, pelleter (trans.: qqch.);;;;.
ajaraaq;;1;v;i;;;;;;;;to make string figures;faire des figures avec des cordes;;;;.
ajuaq;;1;v;i;;;;;;;;to abscess;avoir un abcès, un furoncle;;;;.
ajuq;;1;v;i;;;;;;nil;;(1) to be unable to or incapable of doing s.t. (2) to not work, to be out of order;(1) ne pas être capable de faire qqchose;;;;
ak&u;;1;v;i;a;;;;;;;to be poor;être pauvre;;;;.
akau;;1;v;i;a;;;;;;;to be good;être bon;;;;.
aki;;1;v;i;;;;;;nil;;to answer back;;;;;
aktaq;;1;v;i;;;;;;;;to throw out the garbage;jeter les ordures dehors;;;;.
akti;;1;v;i;a;;;;;;;to be large in size;être de grande taille;;;;.
aktit;;1;v;i;;;;;;;;to break up the ice at one's mouth by flowing in the spring, speaking of a river;briser la glace à son embouchure en recommençant à couler au printemps (une rivière);;;;.
akui;;1;v;i;;;;;;;;to fetch caribou from cache;récupérer un caribou de la cache;;;;.
akunat;;1;v;i;;;;;;;;to be blowing hard at sea, speaking of the wind;souffler fort sur la mer (vent);;;;.
alaq;;1;v;i;;;;;;nil;;to turn one's eyes away (trans.: from s.t.);détourner les yeux (trans.: de qqch.);;;;.
alia;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to be afraid;;;;;
allak;;1;v;i;;;;;;nil;;to write or draw (trans.: s.t.);écrire ou dessiner;;;;.
allaq;;1;v;i;a;;;;;;;to be clear, speaking of the sky;être clair (le ciel);;;;.
aluk;;1;v;i;;;;;;nil;;to spoon s.t. into one's mouth;porter qqch. à sa bouche avec une cuillère;;;;.
amiqqaaq;;1;v;i;;;;;;;;to take turns at using the same article or thing;se servir à son tour d'un même article;;;;.
amit;;1;v;i;a;;;;;;;to be narrow;être étroit;;;;.
anaq;;1;v;i;;;;;;;;to shit;chier;;;;.
angi;;1;v;i;a;;;;;;;to be big;être gros;;;;.
angiq;;1;v;i;;;;;;nil;;to say yes;;;;;
angiqqaq;;1;v;i;;;;;;;;to arrive home;arriver à la maison;;;;.
angmaluq;;1;v;i;a;;;;;;;to be round, circular, oval;être rond, circulaire, ovale;;;;.
angmaq;;1;v;i;a;;;;;;;to be punctured or ripped;;;;;
angmaqquq;;1;v;i;;;;;;;;to travel with the wind on one's side;voyager avec le vent sur le côté;;;;.
