morpheme;key;type;function;position;transitivity;nature;plural;antipassive;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;engMean;freMean;condPrec;condPrecTrans;condOnNext;sources;composition;dialect;mobility
&&apik;1;sv;vv;m;n;;;;&&apik;n;n;;&&apik;s;s;;&&apik;s;s;;&&apik;s;s;;implies frustration or annoyance, because of embarassment, inconvenience or awkwardness to one's position or plans: 'damn it!';implique de la frustration ou de la contrariété à cause d'un embarras, d'un désagrément ou d'un dérangement à ses plans;;;;A1;;;m
&&aq;1;sv;vv;m;n;;;;&&aq;n;n;;&&aq;s;s;;&&aq;s;s;;&&aq;s;s;;implies frustration or annoyance, because of embarassment, inconvenience or awkwardness to one's position or plans: 'damn it!';implique de la frustration ou de la contrariété à cause d'un embarras, d'un désagrément ou d'un dérangement à ses plans;;;;A1;;;m
&aq;1;sv;vv;m;i;;;;&aq;n;n;;0;0;0;;0;0;0;;0;0;0;;identification;identification;id:u/1nv;;mode:caus;H1;;;m
&iq;1;sn;nn;t;;;;;&iq lliq;n n;n;;&iq lliq;n s;n s;;&iq lliq;n s;n s;;&iq lliq;n s;n s;;superlativeness, highest degree, the most of all;superlatif, le plus haut degré, le plus ... de tous;;;;;;;m
a;1;sv;vv;m;t;;;ksi/1vv ri/1vv gi/4vv;a aq;n n;n;;a aq;s s;s;;a aq;s s;s;;a aq;s s;s;;action done several times, or continuously, or on several objects, or by several subjects;;;;;;;;
ajak;1;sn;nv;m;i;;;;ajak;n;n;;akak;s;s;;ajak;s;s;;ajak;s;s;;to take many (animals);attraper beaucoup d'animaux;;;;A1;;;m
allak;1;sv;vv;m;n;;;;allak ala;n-i(ra) n-i(ra);n;i(ra);allak ala;s-i(ra) s-i(ra);s;i(ra);allak ala;s-i(ra) s-i(ra);s;i(ra);allak ala;s-i(ra) s-i(ra);s;i(ra);ease, simpleness of action;;;;;;;;
aluk;1;sn;nn;t;;;;;aluk aaluk;n-i(ra) n-i(ra);n n;i(ra) i(ra);aluk aluk aaluk;s-i(ra) i(i) s-i(ra);s i(i) s;i(ra) - i(ra);aluk aaluk;s-i(ra) s-i(ra);s s;i(ra) i(ra);aluk aaluk;s-i(ra) s-i(ra);s s;i(ra) i(ra);largeness;;;;;;;;
anik;1;sv;vv;m;n;;;;anik;n-i(ra);n;i(ra);anik;s-i(ra);s;i(ra);anik;s-i(ra);s;i(ra);anik;s-i(ra);s;i(ra);action already done;;;;;;;;
annuk;1;sn;nn;t;;;;;annuk;n-i(r);n;i(r);annuk;s;s;;annuk;s;s;;annuk;s-?;s;;diminutiveness;;;;;;;;
apik;1;sn;nn;t;;;;;apik;n-i(ra);n;i(ra);apik;s-i(ra);s;i(ra);apik;s-i(ra);s;i(ra);apik;s-i(ra);s;i(ra);diminutiveness;;;;;;;;
aq;1;sn;nv;m;i;;;;0;;0;;aq uq;s s;s;;0;0;0;;0;0;0;;arrival at a place: 'go to';arrivée à un endroit: 'aller à';case:dat;;;H1;;;m
aq;2;sn;nv;m;t;;;si/1vv ri/1vv;aq;n;n;;aq;s;s;;aq;s;s;;aq;s-?;s;;1) to spread s.t. (a substance) on s.t. 2) to hurt s.o. on a body part;;;;;;;;
arjuk;1;sn;nn;t;;;;;arjuk;n-i(ra);n;i(ra);arjuk;s-i(ra);s;i(ra);arjuk arjuk;s-i(ra) s-i(ga);s;i(ra) i(ga);arjuk;s-i(ra);s;i(ra);smallness;;;;;;;;
arjuk;2;sv;vv;m;n;;;;arjuk;n-i(ra);n;i(ra);arjuk;s-i(ra);s;i(ra);arjuk arjuk;s-i(ra) s-i(ga);s;i(ra) i(ga);arjuk;s-i(ra);s;i(ra);a little;un peu;;;;A1;;;m
gai;1;sv;vv;m;n;;;;gai gaik;n n;n;;gai gaik;n n;n;;gai gaik kaik;s s n;s s n;;rai raik;s s;s s;;whenever;chaque fois que, lorsque;;;;;;;m
gajuk;1;sv;vv;m;n;;;;gajuk;n;n;;gajuk;s;s;;gajuk;s;s;;rajuk;s;s;;expresses more than regular action: 'frequently', 'always';exprime une action plus que régulière: 'fréquemment', 'toujours';;;;A1;;;m
galaq;1;sn;nn;m;;;;;galaq;n;n;;galaq;s;s;;galaq;s;s;;galaq;s;s;;collectiveness;;;;;;;;
galuaq;1;sv;vv;m;n;;;;galuaq;n;n;;kaluaq;a;a;;kaluaq;s;s;;raluaq;s;s;;really;;;;;;;;
galuaq;2;sv;vn;t;;;;;galuaq;n;n;;kaluaq;a;a;;kaluaq;s;s;;raluaq;s;s;;really;;;;;;;;
gaq;1;sv;vn;t;;;;;gaq;n;n;;gaq;s;s;;gaq;s;s;;gaq;s;s;;forms a noun with an inherently passive meaning: someone/something that one ...;forme un nom avec un sens inhérent passif: quelqu'un/quelque chose que l'on ...;;;;H1;;;m
gaq;2;sv;vv;m;t;;;i/1vv si/1vv;gaq;n;n;;gaq;s;s;;gaq;s;s;;gaq;s;s;;frequentative: several times;nil;;;;S1;;;m
ggiq;1;sn;nv;m;i;;;;ggiq;n;n;;gaq;s;s;;ggiq;s;s;;ggiq;s;s;;bring along with;emmener avec soi;type:n function:vn function:nn;;;H1;;;m
gi;1;sn;nv;m;t;;;;gi;n;n;;gi;i(i);i(i);;gi;s;s;;ri;s;s;;have as;;;;;;;;
