morpheme;type;mode;specificity;perSubject;numbSubject;perObject;numbObject;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;SpecificCondOnPrecMorph;sources
junga;tv;ger;nsp;1;s;;;junga;n;n;;tunga;n;n;;tunga;n;n;;tunga;n;n;;;?
jutit;tv;ger;nsp;2;s;;;jutit;n;n;;tutit;n;n;;tutit;n;n;;tutit;n;n;;;?
juq;tv;ger;nsp;3;s;;;juq;n;n;;tuq;n;n;;tuq;n;n;;tuq;n;n;;;?
juguk;tv;ger;nsp;1;d;;;juguk;n;n;;tuguk;n;n;;tuguk;n;n;;tuguk;n;n;;;?
jusik;tv;ger;nsp;2;d;;;jusik jutik;n n;n;;tusik tutik;n n;n;;tusik tutik;n n;n;;tusik tutik;n n;n;;;?
juuk;tv;ger;nsp;3;d;;;juuk juk;n n;n;;tuuk tuk;n n;n;;tuuk tuk;n n;n;;tuuk tuk;n n;n;;;?
jugut;tv;ger;nsp;1;p;;;jugut;n;n;;tugut;n;n;;tugut;n;n;;tugut;n;n;;;?
jusi;tv;ger;nsp;2;p;;;jusi;n;n;;tusi;n;n;;tusi;n;n;;tusi;n;n;;;?
jut;tv;ger;nsp;3;p;;;jut;n;n;;tut;n;n;;tut;n;n;;tut;n;n;;;?
vunga;tv;dec;nsp;1;s;;;vunga;n;n;;punga;a;a;;punga;n;n;;punga qunga;n son;n son;;;?
vutit;tv;dec;nsp;2;s;;;vutit;n;n;;putit;a;a;;putit;n;n;;putit qutit;n son;n son;;;?
vuq;tv;dec;nsp;3;s;;;vuq;n;n;;puq;a;a;;puq;n;n;;puq quq;n son;n son;;;?
vuguk;tv;dec;nsp;1;d;;;vuguk;n;n;;puguk;a;a;;puguk;n;n;;puguk quguk;n son;n son;;;?
vusik;tv;dec;nsp;2;d;;;vusik vutik;n n;n;;pusik putik;a a;a;;pusik putik;n n;n;;pusik qusik putik qutik;n son n son;n son n son;;;?
vuuk;tv;dec;nsp;3;d;;;vuuk vuk;n n;n;;puuk puk;a a;a;;puuk puk;n n;n;;puuk quuk puk quk;n son n son;n son n son;;;?
vugut;tv;dec;nsp;1;p;;;vugut;n;n;;pugut;a;a;;pugut;n;n;;pugut qugut;n son;n son;;;?
vusi;tv;dec;nsp;2;p;;;vusi;n;n;;pusi;a;a;;pusi;n;n;;pusi qusi;n son;n son;;;?
vut;tv;dec;nsp;3;p;;;vut;n;n;;put;a;a;;put;n;n;;put qut;n son;n son;;;?
langa;tv;dec;nsp;1;s;;;langa;n;n;;langa;s;s;;langa;s;s;;langa;s;s;;id:nngit/1vv;?
latit;tv;dec;nsp;2;s;;;latit;n;n;;latit;s;s;;latit;s;s;;latit;s;s;;id:nngit/1vv;?
laq;tv;dec;nsp;3;s;;;laq;n;n;;laq;s;s;;laq;s;s;;laq;s;s;;id:nngit/1vv;?
laguk;tv;dec;nsp;1;d;;;laguk;n;n;;laguk;s;s;;laguk;s;s;;laguk;s;s;;id:nngit/1vv;?
lasik;tv;dec;nsp;2;d;;;lasik latik;n n;n;;lasik latik;s s;s;;lasik latik;s s;s;;lasik latik;s s;s;;id:nngit/1vv;?
lak;tv;dec;nsp;3;d;;;lak;n;n;;lak;s;s;;lak;s;s;;lak;s;s;;id:nngit/1vv;?
lagut;tv;dec;nsp;1;p;;;lagut;n;n;;lagut;s;s;;lagut;s;s;;lagut;s;s;;id:nngit/1vv;?
lasi;tv;dec;nsp;2;p;;;lasi;n;n;;lasi;s;s;;lasi;s;s;;lasi;s;s;;id:nngit/1vv;?
lat;tv;dec;nsp;3;p;;;lat;n;n;;lat;s;s;;lat;s;s;;lat;s;s;;id:nngit/1vv;?
vunga;tv;int;nsp;1;s;;;vunga;n;n;;punga;a;a;;punga;n;n;;punga qunga;n son;n son;;;?
vit;tv;int;nsp;2;s;;;vit;n;n;;pit;a;a;;pit;n;n;;pit qit;n son;n son;;;?
va;tv;int;nsp;3;s;;;va;n;n;;pa;a;a;;pa;n;n;;pa qa;n son;n son;;;?
vinuk;tv;int;nsp;1;d;;;vinuk;n;n;;pinuk;a;a;;pinuk;n;n;;pinuk qinuk;n son;n son;;;?
visik;tv;int;nsp;2;d;;;visik vitik;n n;n;;pisik pitik;a a;a;;pisik pitik;n n;n;;pisik qisik pitik qitik;n son n son;n son n son;;;?
vak;tv;int;nsp;3;d;;;vak;n;n;;pak;a;a;;pak;n;n;;pak qak;n son;n son;;;?
vita;tv;int;nsp;1;p;;;vita;n;n;;pita;a;a;;pita;n;n;;pita qita;n son;n son;;;?
visi;tv;int;nsp;2;p;;;visi;n;n;;pisi;a;a;;pisi;n;n;;pisi qisi;n son;n son;;;?
vat;tv;int;nsp;3;p;;;vat;n;n;;pat;a;a;;pat;n;n;;pat qat;n son;n son;;;?
langa;tv;int;nsp;1;s;;;langa;n;n;;langa;s;s;;langa;s;s;;langa;s;s;;id:nngit/1vv;?
latit;tv;int;nsp;2;s;;;latit;n;n;;latit;s;s;;latit;s;s;;latit;s;s;;id:nngit/1vv;?
laq;tv;int;nsp;3;s;;;laq;n;n;;laq;s;s;;laq;s;s;;laq;s;s;;id:nngit/1vv;?
laguk;tv;int;nsp;1;d;;;laguk;n;n;;laguk;s;s;;laguk;s;s;;laguk;s;s;;id:nngit/1vv;?
lasik;tv;int;nsp;2;d;;;lasik latik;n n;n;;lasik latik;s s;s;;lasik latik;s s;s;;lasik latik;s s;s;;id:nngit/1vv;?
lak;tv;int;nsp;3;d;;;lak;n;n;;lak;s;s;;lak;s;s;;lak;s;s;;id:nngit/1vv;?
lagut;tv;int;nsp;1;p;;;lagut;n;n;;lagut;s;s;;lagut;s;s;;lagut;s;s;;id:nngit/1vv;?
lasi;tv;int;nsp;2;p;;;lasi;n;n;;lasi;s;s;;lasi;s;s;;lasi;s;s;;id:nngit/1vv;?
lat;tv;int;nsp;3;p;;;lat;n;n;;lat;s;s;;lat;s;s;;lat;s;s;;id:nngit/1vv;?
vinga;tv;int;sp;2;s;1;s;vinga;n;n;;pinga;a;a;;pinga;n;n;;pinga;n;n;;;?
vaanga;tv;int;sp;3;s;1;s;vaanga;n;n;;paanga;a;a;;paanga;n;n;;paanga;n;n;;;?
vagit;tv;int;sp;1;s;2;s;vagit;n;n;;pagit;a;a;;pagit;n;n;;pagit;n;n;;;?
vaatit;tv;int;sp;3;s;2;s;vaatit;n;n;;paatit;a;a;;paatit;n;n;;paatit;n;n;;;?
vigu;tv;int;sp;1;s;3;s;vigu;n;n;;pigu;a;a;;pigu;n;n;;pigu;n;n;;;?
viuk;tv;int;sp;2;s;3;s;viuk;n;n;;piuk;a;a;;piuk;n;n;;piuk;n;n;;;?
vauk;tv;int;sp;3;s;3;s;vauk;n;n;;pauk;a;a;;pauk;n;n;;pauk;n;n;;;?
langa;tv;int;sp;2;s;1;s;langa;n;n;;langa;s;s;;langa;s;s;;langa;s;s;;id:nngit/1vv;?
laanga;tv;int;sp;3;s;1;s;laanga;n;n;;laanga;s;s;;laanga;s;s;;laanga;s;s;;id:nngit/1vv;?
lagit;tv;int;sp;1;s;2;s;lagit;n;n;;lagit;s;s;;lagit;s;s;;lagit;s;s;;id:nngit/1vv;?
laatit;tv;int;sp;3;s;2;s;laatit;n;n;;laatit;s;s;;laatit;s;s;;laatit;s;s;;id:nngit/1vv;?
lagu;tv;int;sp;1;s;3;s;lagu;n;n;;lagu;s;s;;lagu;s;s;;lagu;s;s;;id:nngit/1vv;?
liuk;tv;int;sp;2;s;3;s;liuk;n;n;;liuk;s;s;;liuk;s;s;;liuk;s;s;;id:nngit/1vv;?
lauk;tv;int;sp;3;s;3;s;lauk;n;n;;lauk;s;s;;lauk;s;s;;lauk;s;s;;id:nngit/1vv;?
langa;tv;imp;nsp;1;s;;;langa;n;n;;langa;son;son;;langa;son;son;;langa;son;son;;;?
git;tv;imp;nsp;2;s;;;git;n;n;;tit git;n s;n s;;git;s;fus;;rit;s;fus;;;?
li;tv;imp;nsp;3;s;;;li;n;n;;li;son;son;;li;son;son;;li;son;son;;;?
luk;tv;imp;nsp;1;d;;;luk;n;n;;luk;son;son;;luk;son;son;;luk;son;son;;;?
gissik;tv;imp;nsp;2;d;;;gissik gittik;n n;n;;tissik gissik tittik gittik;n s n s;n s n s;;gissik gittik;s s;fus;;rissik rittik;s s;fus;;;?
lik;tv;imp;nsp;3;d;;;lik;n;n;;lik;son;son;;lik;son;son;;lik;son;son;;;?
ta;tv;imp;nsp;1;p;;;ta ta;n i(p);n i(p) i(t);;ta;n;n;;ta ta;n a;n a;;ta;n;n;;;?
gipsi;tv;imp;nsp;2;p;;;gipsi;n;n;;tipsi gipsi;n s;n n s s;;gipsi;s;fus;;ripsi;s;fus;;;?
lit;tv;imp;nsp;3;p;;;lit;n;n;;lit;son;son;;lit;son;son;;lit;son;son;;;?
