morpheme;type;mode;sameSubject;posneg;tense;dialect;specificity;perSubject;numbSubject;perObject;numbObject;V-form;V-actions;V-action1;V-action2;t-form;t-actions;t-action1;t-action2;k-form;k-actions;k-action1;k-action2;q-form;q-actions;q-action1;q-action2;SpecificCondOnPrecMorph;sources
lunga;tv;part;oui;pos;prespas;North Baffin;nsp;1;s;;;lunga;i(l);i(l);;&unga;n;n;;&unga;n;n;;&unga;n;n;;;M1 H2
lutit;tv;part;oui;pos;prespas;North Baffin;nsp;2;s;;;lutit;i(l);i(l);;&utit;n;n;;&utit;n;n;;&utit;n;n;;;M1 H2
luni;tv;part;oui;pos;prespas;North Baffin;nsp;3;s;;;luni;i(l);i(l);;&uni;n;n;;&uni;n;n;;&uni;n;n;;;M1 H2
lunuk;tv;part;oui;pos;prespas;North Baffin;nsp;1;d;;;lunuk;i(l);i(l);;&unuk;n;n;;&unuk;n;n;;&unuk;n;n;;;M1 H2
lusik;tv;part;oui;pos;prespas;North Baffin;nsp;2;d;;;lusik;i(l);i(l);;&usik;n;n;;&usik;n;n;;&usik;n;n;;;M1 H2
lutik;tv;part;oui;pos;prespas;North Baffin;nsp;3;d;;;lutik;i(l);i(l);;&utik;n;n;;&utik;n;n;;&utik;n;n;;;M1 H2
luta;tv;part;oui;pos;prespas;North Baffin;nsp;1;p;;;luta;i(l);i(l);;&uta;n;n;;&uta;n;n;;&uta;n;n;;;M1 H2
lusi;tv;part;oui;pos;prespas;North Baffin;nsp;2;p;;;lusi;i(l);i(l);;&usi;n;n;;&usi;n;n;;&usi;n;n;;;M1 H2
lutik;tv;part;oui;pos;prespas;North Baffin;nsp;3;p;;;lutik;i(l);i(l);;&utik;n;n;;&utik;n;n;;&utik;n;n;;;M1 H2
lunga;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;nsp;1;s;;;lunga;n;n;;lunga;son;son;;lunga;son;son;;lunga;son;son;;;M1 H2
lutit;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;nsp;2;s;;;lutit;n;n;;lutit;son;son;;lutit;son;son;;lutit;son;son;;;M1 H2
luni;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;nsp;3;s;;;luni;n;n;;luni;son;son;;luni;son;son;;luni;son;son;;;M1 H2
lunuk;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;nsp;1;d;;;lunuk;n;n;;lunuk;son;son;;lunuk;son;son;;lunuk;son;son;;;M1 H2
lusik;tv;part;oui;pos;fut;North Baffin, Cumberland Peninsula;nsp;2;d;;;lusik;n;n;;lusik;son;son;;lusik;son;son;;lusik;son;son;;;M1 H2
